Time,Arm Angle,Pendulum Angle,Arm Velocity,Pendulum Velocity,Torque
0.0,0,3.1416,6.8889,-23.1725,0.0
0.02,0.1378,2.6781,6.8891,-23.1726,0.0
0.04,0.2756,2.2147,4.1195,-19.9888,0.0
0.06,0.358,1.8149,1.615,-16.8004,0.0
0.08,0.3903,1.4789,0.0512,-14.2222,0.0
0.1,0.3913,1.1945,-0.8903,-12.0358,0.0
0.12,0.3735,0.9537,-1.4182,-10.1018,0.0
0.14,0.3451,0.7517,-1.6431,-8.3555,0.0
0.16,0.3122,0.5846,-1.6452,-6.7789,0.0
0.18,0.2793,0.449,-1.5034,-5.3844,0.0
0.2,0.2493,0.3413,-1.2927,-4.1932,0.0
0.22,0.2234,0.2575,-1.0703,-3.2145,0.0
0.24,0.202,0.1932,-0.869,-2.437,0.0
0.26,0.1846,0.1444,-0.7014,-1.8343,0.0
0.28,0.1706,0.1078,-0.5683,-1.3747,0.0
0.3,0.1592,0.0803,-0.4654,-1.0277,0.0
0.32,0.1499,0.0597,-0.387,-0.7673,0.0
0.34,0.1422,0.0444,-0.3276,-0.5724,0.0
0.36,0.1356,0.0329,-0.2827,-0.4269,0.0
0.38,0.13,0.0244,-0.2489,-0.3184,0.0
0.4,0.125,0.018,-0.2233,-0.2374,0.0
0.42,0.1205,0.0133,-0.2039,-0.1771,0.0
0.44,0.1165,0.0097,-0.189,-0.1322,0.0
0.46,0.1127,0.0071,-0.1775,-0.0987,0.0
0.48,0.1091,0.0051,-0.1686,-0.0738,0.0
0.5,0.1058,0.0036,-0.1616,-0.0552,0.0
0.52,0.1025,0.0025,-0.1559,-0.0413,0.0
0.54,0.0994,0.0017,-0.1512,-0.031,0.0
0.56,0.0964,0.0011,-0.1474,-0.0233,0.0
0.58,0.0934,0.0006,-0.144,-0.0175,0.0
0.6,0.0906,0.0003,-0.1411,-0.0132,0.0
0.62,0.0877,-0.0,-0.1384,-0.01,0.0
0.64,0.085,-0.0002,-0.136,-0.0076,0.0
0.66,0.0822,-0.0004,-0.1337,-0.0059,0.0
0.68,0.0796,-0.0005,-0.1315,-0.0045,0.0
0.7,0.0769,-0.0006,-0.1294,-0.0035,0.0
0.72,0.0744,-0.0006,-0.1273,-0.0028,0.0
0.74,0.0718,-0.0007,-0.1252,-0.0022,0.0
0.76,0.0693,-0.0007,-0.1232,-0.0018,0.0
0.78,0.0668,-0.0008,-0.1212,-0.0014,0.0
0.8,0.0644,-0.0008,-0.1191,-0.0012,0.0
0.82,0.062,-0.0008,-0.1171,-0.001,0.0
0.84,0.0597,-0.0008,-0.115,-0.0008,0.0
0.86,0.0574,-0.0009,-0.113,-0.0007,0.0
0.88,0.0551,-0.0009,-0.1109,-0.0006,0.0
0.9,0.0529,-0.0009,-0.1088,-0.0006,0.0
0.92,0.0507,-0.0009,-0.1066,-0.0005,0.0
0.94,0.0486,-0.0009,-0.1045,-0.0005,0.0
0.96,0.0465,-0.0009,-0.1024,-0.0004,0.0
0.98,0.0445,-0.0009,-0.1002,-0.0004,0.0
1.0,0.0425,-0.0009,-0.098,-0.0004,0.0
1.02,0.0405,-0.0009,-0.0958,-0.0003,0.0
1.04,0.0386,-0.001,-0.0936,-0.0003,0.0
1.06,0.0367,-0.001,-0.0914,-0.0003,0.0
1.08,0.0349,-0.001,-0.0892,-0.0003,0.0
1.1,0.0331,-0.001,-0.0869,-0.0002,0.0
1.12,0.0314,-0.001,-0.0847,-0.0002,0.0
1.14,0.0297,-0.001,-0.0824,-0.0002,0.0
1.16,0.028,-0.001,-0.0801,-0.0002,0.0
1.18,0.0264,-0.001,-0.0778,-0.0002,0.0
1.2,0.0249,-0.001,-0.0756,-0.0002,0.0
1.22,0.0234,-0.001,-0.0733,-0.0001,0.0001
1.24,0.0219,-0.001,-0.071,-0.0001,0.0001
1.26,0.0205,-0.001,-0.0686,-0.0001,0.0001
1.28,0.0191,-0.001,-0.0663,-0.0001,0.0001
1.3,0.0178,-0.001,-0.064,-0.0001,0.0001
1.32,0.0165,-0.001,-0.0617,-0.0001,0.0001
1.34,0.0153,-0.001,-0.0593,-0.0001,0.0001
1.36,0.0141,-0.001,-0.057,-0.0,0.0001
1.38,0.0129,-0.001,-0.0547,-0.0,0.0001
1.4,0.0118,-0.001,-0.0523,-0.0,0.0001
1.42,0.0108,-0.001,-0.05,0.0,0.0001
1.44,0.0098,-0.001,-0.0476,0.0,0.0001
1.46,0.0088,-0.001,-0.0453,0.0001,0.0001
1.48,0.0079,-0.001,-0.0429,0.0001,0.0001
1.5,0.0071,-0.001,-0.0406,0.0001,0.0001
1.52,0.0063,-0.001,-0.0382,0.0002,0.0001
1.54,0.0055,-0.001,-0.0358,0.0002,0.0001
1.56,0.0048,-0.001,-0.0335,0.0003,0.0001
1.58,0.0041,-0.001,-0.0311,0.0004,0.0001
1.6,0.0035,-0.001,-0.0287,0.0005,0.0001
1.62,0.0029,-0.001,-0.0263,0.0006,0.0001
1.64,0.0024,-0.001,-0.024,0.0007,0.0001
1.66,0.0019,-0.0009,-0.0216,0.0009,0.0001
1.68,0.0015,-0.0009,-0.0192,0.0011,0.0001
1.7,0.0011,-0.0009,-0.0168,0.0013,0.0
1.72,0.0008,-0.0009,-0.0145,0.0015,0.0
1.74,0.0005,-0.0008,-0.0121,0.0018,0.0
1.76,0.0002,-0.0008,-0.0098,0.0022,0.0
1.78,0.0,-0.0008,-0.0076,0.0026,0.0
1.8,-0.0001,-0.0007,-0.0054,0.003,0.0
1.82,-0.0002,-0.0007,-0.0032,0.0035,0.0
1.84,-0.0003,-0.0006,-0.0013,0.0039,0.0
1.86,-0.0003,-0.0005,0.0005,0.0044,0.0
1.88,-0.0003,-0.0004,0.0021,0.0047,0.0
1.9,-0.0003,-0.0003,0.0032,0.0049,0.0
1.92,-0.0002,-0.0002,0.0038,0.0047,0.0
1.94,-0.0001,-0.0001,0.0037,0.0041,-0.0
1.96,-0.0001,-0.0001,0.0026,0.0027,-0.0
1.98,0,0,0,0,0.0
