Time,Arm Angle,Pendulum Angle,Arm Velocity,Pendulum Velocity
0.0,0,3.1416,6.9828,-23.1687
0.02,0.1397,2.6782,6.9828,-23.1688
0.04,0.2793,2.2148,4.2069,-19.9871
0.06,0.3635,1.8151,1.6961,-16.8002
0.08,0.3974,1.4791,0.1296,-14.2222
0.1,0.4,1.1947,-0.8115,-12.0355
0.12,0.3837,0.9539,-1.3373,-10.1011
0.14,0.357,0.7519,-1.5594,-8.3545
0.16,0.3258,0.5848,-1.5591,-6.7778
0.18,0.2946,0.4493,-1.4156,-5.3833
0.2,0.2663,0.3416,-1.2038,-4.1922
0.22,0.2422,0.2578,-0.981,-3.2135
0.24,0.2226,0.1935,-0.7798,-2.436
0.26,0.207,0.1448,-0.6126,-1.8334
0.28,0.1948,0.1081,-0.48,-1.3739
0.3,0.1852,0.0806,-0.3778,-1.0269
0.32,0.1776,0.0601,-0.3001,-0.7664
0.34,0.1716,0.0448,-0.2416,-0.5716
0.36,0.1668,0.0333,-0.1976,-0.4261
0.38,0.1628,0.0248,-0.1647,-0.3175
0.4,0.1595,0.0185,-0.1401,-0.2366
0.42,0.1567,0.0137,-0.1217,-0.1763
0.44,0.1543,0.0102,-0.1079,-0.1314
0.46,0.1521,0.0076,-0.0976,-0.0979
0.48,0.1502,0.0056,-0.0899,-0.073
0.5,0.1484,0.0042,-0.084,-0.0544
0.52,0.1467,0.0031,-0.0796,-0.0406
0.54,0.1451,0.0023,-0.0763,-0.0303
0.56,0.1436,0.0016,-0.0737,-0.0226
0.58,0.1421,0.0012,-0.0717,-0.0169
0.6,0.1407,0.0009,-0.0702,-0.0127
0.62,0.1393,0.0006,-0.0689,-0.0095
0.64,0.1379,0.0004,-0.0679,-0.0071
0.66,0.1365,0.0003,-0.0671,-0.0054
0.68,0.1352,0.0002,-0.0664,-0.0041
0.7,0.1339,0.0001,-0.0658,-0.0031
0.72,0.1325,0.0,-0.0653,-0.0024
0.74,0.1312,-0.0,-0.0648,-0.0019
0.76,0.1299,-0.0001,-0.0643,-0.0015
0.78,0.1287,-0.0001,-0.0639,-0.0012
0.8,0.1274,-0.0001,-0.0634,-0.001
0.82,0.1261,-0.0001,-0.063,-0.0009
0.84,0.1249,-0.0002,-0.0626,-0.0008
0.86,0.1236,-0.0002,-0.0621,-0.0007
0.88,0.1224,-0.0002,-0.0617,-0.0007
0.9,0.1211,-0.0002,-0.0612,-0.0006
0.92,0.1199,-0.0002,-0.0607,-0.0006
0.94,0.1187,-0.0002,-0.0602,-0.0006
0.96,0.1175,-0.0002,-0.0596,-0.0006
0.98,0.1163,-0.0003,-0.0591,-0.0006
1.0,0.1151,-0.0003,-0.0585,-0.0006
1.02,0.1139,-0.0003,-0.0579,-0.0007
1.04,0.1128,-0.0003,-0.0572,-0.0007
1.06,0.1116,-0.0003,-0.0566,-0.0007
1.08,0.1105,-0.0003,-0.0559,-0.0007
1.1,0.1094,-0.0003,-0.0551,-0.0007
1.12,0.1083,-0.0004,-0.0544,-0.0008
1.14,0.1072,-0.0004,-0.0536,-0.0008
1.16,0.1061,-0.0004,-0.0527,-0.0008
1.18,0.1051,-0.0004,-0.0519,-0.0008
1.2,0.104,-0.0004,-0.051,-0.0008
1.22,0.103,-0.0004,-0.05,-0.0008
1.24,0.102,-0.0004,-0.049,-0.0008
1.26,0.101,-0.0005,-0.048,-0.0009
1.28,0.1001,-0.0005,-0.0469,-0.0009
1.3,0.0991,-0.0005,-0.0458,-0.0009
1.32,0.0982,-0.0005,-0.0447,-0.0009
1.34,0.0973,-0.0005,-0.0435,-0.0009
1.36,0.0965,-0.0006,-0.0422,-0.0009
1.38,0.0956,-0.0006,-0.0409,-0.0009
1.4,0.0948,-0.0006,-0.0396,-0.0009
1.42,0.094,-0.0006,-0.0382,-0.0008
1.44,0.0932,-0.0006,-0.0368,-0.0008
1.46,0.0925,-0.0006,-0.0353,-0.0008
1.48,0.0918,-0.0007,-0.0338,-0.0007
1.5,0.0911,-0.0007,-0.0323,-0.0007
1.52,0.0905,-0.0007,-0.0307,-0.0006
1.54,0.0899,-0.0007,-0.029,-0.0006
1.56,0.0893,-0.0007,-0.0274,-0.0005
1.58,0.0887,-0.0007,-0.0256,-0.0004
1.6,0.0882,-0.0007,-0.0239,-0.0003
1.62,0.0877,-0.0007,-0.0221,-0.0002
1.64,0.0873,-0.0007,-0.0202,-0.0
1.66,0.0869,-0.0007,-0.0184,0.0002
1.68,0.0865,-0.0007,-0.0165,0.0004
1.7,0.0862,-0.0007,-0.0145,0.0006
1.72,0.0859,-0.0007,-0.0126,0.0009
1.74,0.0857,-0.0007,-0.0107,0.0012
1.76,0.0854,-0.0007,-0.0087,0.0015
1.78,0.0853,-0.0006,-0.0068,0.0019
1.8,0.0851,-0.0006,-0.0048,0.0023
1.82,0.085,-0.0006,-0.003,0.0028
1.84,0.085,-0.0005,-0.0013,0.0032
1.86,0.085,-0.0004,0.0003,0.0036
1.88,0.085,-0.0004,0.0017,0.004
1.9,0.085,-0.0003,0.0027,0.0042
1.92,0.085,-0.0002,0.0033,0.0041
1.94,0.0851,-0.0001,0.0032,0.0036
1.96,0.0852,-0.0,0.0023,0.0023
1.98,0.0852,0,0,0
